: cooked-ingredients	"smoked","boiled","grilled","dried","raw"
herring	smoked_herring
fatty_fish	smoked_fatty_fish
fish	smoked_fish
salmon	smoked_salmon
pork	smoked_pork
uncured_pork	uncured_smoked_pork
beef	boiled_beef
pork	boiled_pork
chicken	boiled_chicken
crab	boiled_crab
meat	boiled_meat
mutton	boiled_mutton
uncured_pork	uncured_boiled_pork
beef	grilled_beef
pork	grilled_pork
fig	dried_fig
parsley	dried_parsley
green_tea	dried_green_tea
black_tea	dried_black_tea
kidney_bean	dried_kidney_bean
soybean_oil	raw_soybean_oil
bean	raw_bean
pea	raw_pea
pork	raw_pork
lean_fish	raw_lean_fish
fish	raw_fish
beef	raw_beef
radish	raw_radish
potato	raw_potato
peanut	raw_peanut
asparagus	raw_asparagus
lamb	raw_lamb
leek	raw_leek
chicken	raw_chicken
turkey	raw_turkey
cabbage	raw_cabbage
fatty_fish	raw_fatty_fish
pork	uncured_pork
