cherry	cherry_juice
passiflora_edulis	passiflora_edulis_juice
tomato	tomato_juice
blackberry	blackberry_juice
lemon	lemon_juice
lime	lime_juice
strawberry	strawberry_juice
lingonberry	lingonberry_juice
purple_passion_fruit	purple_passion_fruit_juice
raspberry	raspberry_juice
onion	onion_juice
grapefruit	grapefruit_juice
beet	beet_juice
fruit	fruit_juice
grape	grape_juice
elderberry	elderberry_juice
passion_fruit	passion_fruit_juice
vitis_labrusca	vitis_labrusca_juice
cabbage	cabbage_juice
berry	berry_juice
muscat_grape	muscat_grape_juice
yellow_passion_fruit	yellow_passion_fruit_juice
orange	orange_juice
tangerine	tangerine_juice
citrus	citrus_juice
black_currant	black_currant_juice
bitter_orange	bitter_orange_juice
apple	apple_juice
