: extracted-ingredients	"oil","juice"
mastic_gum	mastic_gum_oil
seed	seed_oil
hyacinth	hyacinth_oil
narcissus	narcissus_oil
litsea_zeylanica	litsea_zeylanica_oil
petitgrain_lemon	petitgrain_lemon_oil
palmarosa	palmarosa_oil
eucalyptus_citriodora	eucalyptus_citriodora_oil
peppermint	peppermint_oil
japanese_star_anise	japanese_star_anise_oil
cinnamomum	cinnamomum_oil
monarda_punctata	monarda_punctata_oil
elsholtzia_ciliata	elsholtzia_ciliata_oil
sesame_seed	sesame_seed_oil
scotch_spearmint	scotch_spearmint_oil
violet_leaf	violet_leaf_oil
violet_flower	violet_flower_oil
citronella	citronella_oil
jasmine	jasmine_oil
spearmint	spearmint_oil
eucalyptus_dives	eucalyptus_dives_oil
wood	wood_oil
ylangylang	ylangylang_oil
orris	orris_oil
abies_sibirica	abies_sibirica_oil
clove	clove_oil
anise_seed	anise_seed_oil
neroli	neroli_oil
cupressaceae	cupressaceae_oil
eucalyptus	eucalyptus_oil
hogweed	hogweed_oil
litsea_guatemalensis	litsea_guatemalensis_oil
bulgarian_clary_sage	bulgarian_clary_sage_oil
castoreum	castoreum_oil
fish	fish_oil
valerian	valerian_oil
palm	palm_oil
angelica	angelica_oil
garlic	garlic_oil
tea	tea_oil
tobacco	tobacco_oil
ambrette_seed	ambrette_seed_oil
bitter_orange	bitter_orange_oil
cajeput	cajeput_oil
fennel	fennel_oil
cardamom	cardamom_oil
cassia	cassia_oil
estragon	estragon_oil
cognac	cognac_oil
eucalyptus_globulus	eucalyptus_globulus_oil
marjoram	marjoram_oil
vitis_labrusca	vitis_labrusca_oil
french_peppermint	french_peppermint_oil
ananas_sativus	ananas_sativus_oil
orange_leaf	orange_leaf_oil
horseradish	horseradish_oil
bulgarian_rose	bulgarian_rose_oil
green_tea	green_tea_oil
coriander	coriander_oil
chamaecyparis_pisifera	chamaecyparis_pisifera_oil
celery	celery_oil
vanilla	vanilla_oil
cypress	cypress_oil
lavandin	lavandin_oil
ledum_palustre	ledum_palustre_oil
black_tea	black_tea_oil
american_peppermint	american_peppermint_oil
zanthoxylum_rhetsa	zanthoxylum_rhetsa_oil
cumin	cumin_oil
japanese_peppermint	japanese_peppermint_oil
chamomile	chamomile_oil
wild_bergamot	wild_bergamot_oil
ginger	ginger_oil
mandarin	mandarin_oil
orange_peel	orange_peel_oil
carnation	carnation_oil
origanum	origanum_oil
alpinia_malaccensis	alpinia_malaccensis_oil
robinia_pseudoacacia	robinia_pseudoacacia_oil
bitter_almond	bitter_almond_oil
vegetable	vegetable_oil
corn	corn_oil
